Metric Name,Solution KM Note,SQL Statement,Solution for the issue,Application Code,Issue Summary,Issue Description,Issue Severity,Product to raise SR if help needed,SR Component,SR Sub Component,Scheduling,Scheduling Details,Business Impact,Business Flow,Prod Family,Prod Area
PSFT_CS_FA_DL_ITEMTYPE_FAILS_AUTHORIZATION,2681622.1,"SELECT 'Review ' || Count(*) || ' loan(s) with accepted origination and promissory note but have not been marked as ready for disbursement' as KEY_DATA, 
'See Doc ID 2681622.1 For Solution' AS Solution,
'Y' as EVENT
FROM
(SELECT A.EMPLID, A.INSTITUTION, A.AID_YEAR, A.ACAD_CAREER, B.LOAN_TYPE, A.ITEM_TYPE, A.DISBURSEMENT_ID, A.LN_APPL_SEQ
FROM SYSADM.PS_LOAN_STDNT_AWD A, SYSADM.PS_LOAN_ORIG_DTL B, SYSADM.PS_LOAN_ORIGNATN C
WHERE ( A.LN_DISB_AMT_NET = 0
OR A.LN_ACTION_CD NOT IN ('A','C','D'))
AND A.EMPLID = B.EMPLID
AND A.INSTITUTION = B.INSTITUTION
AND A.AID_YEAR = B.AID_YEAR
AND A.ITEM_TYPE = B.ITEM_TYPE
AND A.ACAD_CAREER = B.ACAD_CAREER
AND A.LN_APPL_SEQ = B.LN_APPL_SEQ
AND B.LOAN_TYPE = A.LOAN_TYPE
AND B.LOAN_PROC_STAT = 'S'
AND B.LN_ORIG_TRANS = 'A'
AND A.EMPLID = C.EMPLID
AND A.INSTITUTION = C.INSTITUTION
AND A.AID_YEAR = C.AID_YEAR
AND A.ACAD_CAREER = C.ACAD_CAREER
AND A.LN_APPL_SEQ = C.LN_APPL_SEQ
AND C.LOAN_TYPE = A.LOAN_TYPE
AND C.LN_ORIG_PNOTE_STAT = 'A'
AND C.AID_YEAR = (Select AID_YEAR
From SYSADM.PS_AID_YEAR_TBL
Where INSTITUTION = A.INSTITUTION
And ACAD_YEAR_START <= SYSDATE and ACAD_YEAR_END >= SYSDATE))
having count (*) >= 0","The issue will be resolved with the following steps:
1) Contact COD if you need an understanding of why the original batch with the 15 records with rejected. At the same time, you can work with them to re-send the MPN information on the missing students.
2) Update the disbursement information in one of two ways:
a) If you contacted COD in step 1 and they are able to send you the MPN information in a new file, load the new file.
b) Manually review the information in the original file, then navigate to Financial Aid > Loans > Direct Lending Mangement > Override Processing Status, select the 'Update DL Disb Status' radio button and click 'Update Origination'.
3) Re-test authorizing and disbursing the loans.",,MPN data is in CRDL file and shows in View COD Data but is not showing in Manage Dir Loan Ap,Some records are processing correctly and a possible pattern recently discovered is that the problem is happening for 'GRAD Academic Careers,2,PeopleSoft Enterprise CS Financial Aid,FAAUTHDISB,AUTHDISB,WEEK,SAT,Users will not be able to disburse loan funds to the student account,,PeopleSoft Campus Solutions,CS Financial Aid Area
PSFT_CS_FA_ERROR169_AWDPOSTING,2920351.1,"SELECT 'Review ' || count(*) || ' Financial Aid term row(s) being awarded for one or more item types.' as KEY_DATA, 
'KM Doc ID 2920351.1 to resolve this issue.' as SOLUTION, 
'Y' as EVENT
FROM
(SELECT A.EMPLID, A.INSTITUTION, A.AID_YEAR, A.ITEM_TYPE, A.ACAD_CAREER
FROM SYSADM.PS_STDNT_AWRD_DISB A, SYSADM.PS_STDNT_FA_TERM B
WHERE A.AID_YEAR >= (Select AID_YEAR
FROM SYSADM.PS_AID_YEAR_TBL
WHERE INSTITUTION = A.INSTITUTION
AND ACAD_YEAR_START <= SYSDATE AND ACAD_YEAR_END >= SYSDATE)
AND A.OFFER_BALANCE > 0
AND A.EMPLID = B.EMPLID
AND A.INSTITUTION = B.INSTITUTION
AND B.STRM = A.STRM
AND B.EFFDT =
(SELECT MAX(B_ED.EFFDT) FROM SYSADM.PS_STDNT_FA_TERM B_ED
WHERE B.EMPLID = B_ED.EMPLID
AND B.INSTITUTION = B_ED.INSTITUTION
AND B.STRM = B_ED.STRM
AND B_ED.EFFDT <= SYSDATE)
AND B.EFFSEQ =
(SELECT MAX(B_ES.EFFSEQ) FROM SYSADM.PS_STDNT_FA_TERM B_ES
WHERE B.EMPLID = B_ES.EMPLID
AND B.INSTITUTION = B_ES.INSTITUTION
AND B.STRM = B_ES.STRM
AND B.EFFDT = B_ES.EFFDT)
AND ( B.EFF_STATUS = 'I'
OR A.AID_YEAR <> B.AID_YEAR
OR A.ACAD_CAREER <> B.ACAD_CAREER))
HAVING COUNT(*) > 0","The issue will be resolved with the following steps:

1. On Financial Aid > Awards > Award Processing > Assign Awards to a Student > Student Aid Package, click into the 'Disbursement' links for all item types posted with amount > 0 and note all terms linked to all such item types.
2. Navigate to Financial Aid > Financial Aid Term > Maintain Student FA Term > FA Term for the same EMPLID.
3. Check that each term identified in step 1 is active and populated with the correct Aid Year and career and update either as needed, either by clicking the 'Build' button to rebuild the student or by manually updating the field(s).
4. Back on Assign Awards to Students, cancel/validate/post any non-zero item types posted for a term under a different career than what was verified for the term in step 3.*
5. For any item type(s) canceled in step 4, re-offer/accept, validate, and post the item type(s) under the correct career.",,Award Entry Posting Error,Student validates on award entry but when you try to post it ends in posting encountered errors.  I noticed that the PLUS loan was missing an aggregate le,3,PeopleSoft Enterprise CS Financial Aid,AWARDPRC,ONLNPKG,WEEK,SAT,Users are unable to complete the adjustment to the award which is needed ahead of the payment due date and requires the award to be disbursed correctly,,PeopleSoft Campus Solutions,CS Financial Aid Area
PSFT_CS_FA_AWARD_VALIDATION_EDIT_9562,2399092.1,"Select 'Review' ||count(*)|| 'transaction(s) where disbursement ID was not found in the disbursement plan' as KEY_DATA, 
'Refer KM Doc ID 2399092.1' as SOLUTION, 
'Y' as EVENT 
FROM 
(SELECT A.EMPLID, A.INSTITUTION, A.AID_YEAR, A.ACAD_CAREER, A.PKG_SEQ_NBR, A.DISBURSEMENT_PLAN, P.DISBURSEMENT_ID 
FROM SYSADM.PS_STDNT_AWaRDS A, SYSADM.PS_STDNT_awrd_disb P 
Where P.emplid = A.emplid
And P.institution = A.institution
And P.aid_year = A.aid_year
And P.acad_career = A.acad_career
And A.aid_year = (Select aid_year From SYSADM.ps_aid_year_tbl
Where institution = A.institution
And acad_year_start <= SYSDATE
and acad_year_end >= SYSDATE)
And not exists (Select 'X'
From SYSADM.PS_DISB_ID_TBL 
Where institution = A. institution
And aid_year = A.aid_year
And acad_career = A.acad_career
And disbursement_plan = A.disbursement_plan
And disbursement_id = P.disbursement_id)) 
having count(*) > 0","1. Run an SQL to delete any orphaned rows from the PS_DISB_ID_SPLIT table that don't exist in the DISB_ID_TBL for the same disbursement plan.
2. If possible, use an SQL to update the STDNT_AWARDS.DISBURSEMENT_PLAN field to a different plan that contains all of the same disbursement id's and terms that are currently posted for the student. If this isn't possible, skip to step 4.
3. Once the plan is changed, cancel the item type, validate, and post; then re-award the item type under the other intended disbursement plan, make any other required changes, validate and post.
4. If the issue was not resolved in the prior steps, use an SQL to delete the orphaned rows from the STDNT_AWRD_DISB table.",,Error posting awards on FA,"We have a few students who have an error on posting awards.  We cannot cancel, change, or even use external awards to change it.  We think it may have to d",3,PeopleSoft Enterprise CS Financial Aid,AWARDPRC,ONLNPKG,WEEK,MON,Unable to revise an existing award on STDNT_AWARDS due to a change to the Disbursement Id's used in the initial awarding process.,,PeopleSoft Campus Solutions,CS Financial Aid Area
PSFT_CS_FA_COD_IMP_CORR_DATA,2481726.1,"select 'Review' || count(*) || 'Number of PS_LOAN_DISB_MSG rows with LN_DISB_SEQ_NBR equal to 0'  as KEY_DATA,
'See KM Doc ID 2481726.1'  as SOLUTION,
'Y'  as EVENT
FROM
(SELECT A.EMPLID, A.INSTITUTION, A.AID_YEAR
from SYSADM.PS_LOAN_DISB_MSG A
WHERE A.AID_YEAR >= (Select AID_YEAR
FROM SYSADM.PS_AID_YEAR_TBL
WHERE INSTITUTION = A.INSTITUTION
AND ACAD_YEAR_START <= SYSDATE AND ACAD_YEAR_END >= SYSDATE)
AND LN_DISB_SEQ_NBR = 0)
having count(*)  >=  1","1. Query all records in the PS_LOAN_DISB_MSG table for the aid year being processed where the LN_DISB_SEQ_NBR = 0
2. For the same group of students, query the PS_LOAN_DISB_ACTN.LN_ACTION_STATUS. Use all key fields matching on PS_LOAN_DISB_MSG in step 1, except LN_DISB_SEQ_NBR. For LN_DISB_SEQ_NBR, use the max sequenced PS_LOAN_DISB_ACTN row where the SFA_CR_DOCUMENT_ID is also populated, as this extra criteria should identify the last transaction actually sent to COD (in case subsequent rows, not directly related to sending and receiving COD information, have since been populated).
3. For records where the identified LN_ACTION_STATUS <> 'T', query the PS_SFA_COD_AWARD.SFA_CR_AWARD_STAT on the records matching on cod document id, emplid, and loan/award type. For the latter, this means matching the PS_SFA_COD_AWARD.SFA_CR_AWARD_NAME value of 'DLSubsidized', 'DLUnsubsidized', 'DLPLUS' against the equivalent LOAN_TYPE or ITEM_TYPE on LOAN_DISB_ACTN. 
4. For records where the identified SFA_CR_AWARD_STAT <> 'P,  run an SQL to set the SFA_CR_AWARD_STAT = 'P'.
5. Run an SQL to delete the rows identified in step 1.",,CODIN FAPCODIN Created Data in PS LOAN DISB MSG table with LN DISB SEQ NBR equal to 0,"After running the Import COD response data (CODIN) two-part process, it's observed that there were rows created in in PS_LOAN_DISB_MSG with LN_DISB_SEQ_NBR",2,PeopleSoft Enterprise CS Financial Aid,FINAIDLOANS,,WEEK,SAT,Loan Payments posted to the student account can be impacted when this error occurrs.,,PeopleSoft Campus Solutions,CS Financial Aid Area
PSFT_CS_FA_AWDPOSTING_DISBPLAN20,2940421.1,"Select 'Review ' || count(*) || ' Student(s) Who Reached a Maximum Number of Disbursement Plans' as KEY_DATA, 'Refer to Doc ID 2940421.1 For a Solution' as SOLUTION, 'Y' as EVENT
From
(
Select EMPLID, INSTITUTION, AID_YEAR, count(*)
From SYSADM.ps_STDNT_AWD_PKG
Where offer_amount <> 0
Group By EMPLID, INSTITUTION, AID_YEAR
Having count(*) > 20
)
having count(*) > 0","Essentially, the award posting process is designed to allow for 20 disbursement plans.  This is a hard-coded value in the code itself.  It's uncommon for a student to have aid with more than 20 disbursement plans. 

In order to get past the error for the students who are experiencing this error, you will have to revise the student's award package so that ONLY 20 or fewer disbursement plans are getting posted.",,Maximum Disbursement Plans was Exceeded Error,Error will occur if the student has more than 20 disbursement plans on student awards.,2,PeopleSoft Enterprise CS Financial Aid,AWARDPRC,FAPKGING,WEEK,SUN,Award Posting Process errors when student package has more than 20 Disbursement Plans offered,,PeopleSoft Campus Solutions,CS Financial Aid Area
PSFT_CS_FA_EDI_EXP_PRCS_ERR,610906.1,"select count(*)|| 'Potential Issue(s) With EDI Export Process failing - Could NOT Convert External ID at the EC Queue Level (See KM 610906.1)' as KEY_DATA,
'Review Doc ID 610906.1 to identify and resolve' as SOLUTION, 
'Y' as EVENT
from 
(SELECT ecentitycd
FROM SYSADM.PS_ECINTLINK L
Where not exists (Select 'X'
From SYSADM.PS_ECEXTTPLINK X
where X.ecentitycd = L.ecentitycd)
UNION
SELECT ECENTITYCD_EXT
FROM SYSADM.PS_ECQUEUE
where ECTRANSID='A004P'
and (ecentitycd_bu = ' '
or ecentitycd_ext = ' ')) 
having count(*) > 0","Solution 1 (corresponding to the first mentioned cause in the previous section): 

1.  Navigate to Peopletools > EDI Manager > Setup Trading Partners > External Partners.
2. Identify the external partner involved with the alternative loan transactions in question, based on the loan destination profile, or determine if a new partner needs to be added.
3. In the customer/vendor assignment section, make sure there is a row for the identified vendor number; again, the vendor corresponds with the loan destination profile.
4. Also note the PSCode (ECENTITYCD) and SetID values corresponding with the identified vendor. The PSCode should always be set up as 'LDST'. For the Setid, Peoplebooks says: ""Leave this field blank if you are not using a setID to control EDI outbound files. If you use a setID, it must match the financial aid business unit entity code defined in the FA EDI Destination page."" The SetID, if populated, must also match the business unit defined on the internal transfer id setup page (in the same menu group) that matches up with the external id. For commonline loans, the internal partner should typically be CL4_INT_TP. On this page, the PSCode should always be 'FATP', and the business unit should be what is set up on the FA EDI Destination page, which will typically be FABU.
5. Re-test the process.

Solution 2 (corresponding to the second cause referenced in the previous section):

1. Navigate to Set Up SACR > Product Related > Financial Aid > Loans > Maintain Loan Transfer ID.
2. Add the Loan Transfer ID or correct any missing or incorrect field values.
3. Any already existing ECQUEUEINSTANCEs that have blank values for any of the fields will require the PS_ECQUEUE table to be updated via SQL with the correct values for BUSINESS_UNIT, ECENTITYCD_BU, and ECENTITYCD_EXT. Typically these values will be FABU, FATP, and LDST respectively, unless one or more of these were not set up with the normal default value.
4. Re-test the process.",,Potential EDI Export Process Failures,,2,PeopleSoft Enterprise CS Financial Aid,FINAIDLOANS,,DAY,1,Loan processing could be impacted because of missing data either in the EDI Trading Partners or Loan Type Setup,,PeopleSoft Campus Solutions,CS Financial Aid Area
PSFT_CS_FA_AID_YR_MISMATCH,2406742.1,"Select 'Review' ||count(*)|| ' is not set up properly or not exist in the valid term(s) for career (See KM 2406742.1 )' AS KEY_DATA,
'Please refer to Doc ID 2406742.1 to learn the possible causes of this issue and how to solve it' AS SOLUTION,
'Y' AS EVENT
From
(Select distinct T.emplid, T.institution, T.strm, T.acad_career, T.aid_year
from SYSADM.ps_stdnt_fa_term T
, SYSADM.ps_aid_year_tbl A
where A.acad_year_end >= sysdate
and T.institution = A.institution
and T.aid_year = A.aid_year
and not exists (Select 'X'
From SYSADM.ps_aid_yr_car_term A
where T.institution = A.institution
and T.aid_year = A.aid_year
and T.acad_career = A.acad_career
and T.strm = A.strm)) 
having count(*) > 0","The issue will be resolved with the following steps:

Correct any of the Academic Year values on FA Term that are incorrect. The field is on the first tab of the FA Term component, and is non-updateable, so any change will need to be made using SQL.
 If the student is built with the same career for all terms, add or complete any missing/incomplete setup for those terms in Valid Terms for Career. Main Menu > Set Up SACR > Product Related > Financial Aid >> Aid Year > Valid Terms for Career. OR if the FA Term row was assigned the wrong aid year, update it to the correct year, or inactivate the term. 
If the student is built for two careers with different terms, add all valid terms to both valid Careers in Valid Terms for Career. Main Menu > Set Up SACR > Product Related > Financial Aid > Aid Year > Valid Terms for Career.
Uncheck the Override Census Date Lock - within the 'Census' link on the first page of FA Term - on any fa term row where the aid year has been overridden.

Please review the knowledge management article: Award Posting Process Encountered Error(s), Error 172 Financial Aid Term Mismatch Detected (Doc ID 2406742.1)",,Financial Aid Term Mismatch,,2,PeopleSoft Enterprise CS Financial Aid,AWARDPRC,ONLNPKG,DAY,1,Student awards could be impacted due to FA Term showing a different AId Year on the term that the student has FA awarded.,,PeopleSoft Campus Solutions,CS Financial Aid Area
PSFT_CS_SF_CASHIER_GL_ENTRIES_SFDPTREC,2893167.1,"Select 'Review ' || count(*) || ' Failed Cashier GL Interface Process Instance(s) Corresponding EO_MSGBATPRM Entry Does Not Exist' as KEY_DATA,
'Publishing Accounting Entries Created by Generate Cashiering Entries Process (SFDPTREC) to FMS After Failed or Cancelled Process (Doc ID 2893167.1)' as SOLUTION, 'Y' as EVENT
From
(Select distinct A.process_instance
From SYSADM.ps_sf_acctg_ln A
Where A.process_instance > 0
and A.receipt_nbr > 0
and not exists (Select 'X'
From SYSADM.ps_eo_msgbatprm
Where process_instance = A.process_instance)
) having count(*) > 0","To resolve this issue, perform the following steps:

1.     Run the following SQL:
    Select distinct A.process_instance
    From ps_sf_acctg_ln A
    Where A.process_instance > 0
      and A.receipt_nbr > 0
      and not exists (Select 'X'
          From ps_eo_msgbatprm
          Where process_instance = A.process_instance);
2.     Confirm no entry for the process instance exists in PS_EO_MSGBATPRM:
    SELECT * FROM PS_EO_MSGBATPRM WHERE PROCESS_INSTANCE = 'XXX', where 'XXX' is the process instance returned by the above SQL script.

3.    If no row for the failed/cancelled process instance exists in PS_EO_MSGBATPRM, a row for the process instance must be inserted using SQL.
    Run the following SQL statement the following fields:
    PROCESS_INSTANCE
    JOBINSTANCE
    PROCESS_NAME
    PROCESS_STATUS
    BATCH_CLEANUP_FLG
    DATETIME_STAMP
  SQL script is:
    insert into PS_EO_MSGBATPRM
    values
    ('xxx', - where xxx is the process instance returned by the SQL in Step 1
    '0',
    'SFDPTREC',
    'N',
    'C',
    'datetime in the format appropriate for your database platform');
     NOTE: Any date/time can be used. To maintain as clean of an audit trail as possible, a datetime of the original Generate Cashiering Entries is recommended.
4.    When the row is inserted into PS_EO_MSGBATPRM, and the insert has been committed, run the Batch Publish process.",,Process SDPTREC errors causing accounting entries to not publish to Financials,"When the Generate Cashiering Entries process (SDPTREC) does not finish normally, the row for the process instance is not inserted into PS_EO_MSGBATPRM.",2,PeopleSoft Enterprise CS Student Financials,CASHPST,SFCASHR,MONTH,1,Accounting lines are not published to Financials due to a previous process error,,PeopleSoft Campus Solutions,CS Student Financials Area
PSFT_CS_SF_CREDITHISTORY_ACCTTERM,656449.1,"Select count(*) || ' Account Term Found In PS_ITEM_LINE_SF Not Matching With The Account Term in PS_ITEM_SF' as KEY_DATA, 
'Review KM Doc ID 656449.1 To Identify the Issue and To Resolve It' As Solution,
'Y' as EVENT
From 
(Select A.EMPLID, A.BUSINESS_UNIT, A.ITEM_NBR, A.ACCOUNT_TERM AS ""ITEM_LINE_SF.ACCOUNT_TERM"", B.ACCOUNT_TERM AS ""ITEM_SF.ACCOUNT_TERM"" 
From SYSADM.PS_ITEM_LINE_SF A, SYSADM.PS_ITEM_SF B 
Where A.COMMON_ID = B.COMMON_ID
 and A.BUSINESS_UNIT = B.BUSINESS_UNIT
 and A.ITEM_NBR = B.ITEM_NBR
 AND A.ACCOUNT_TERM <> B.ACCOUNT_TERM) 
HAVING COUNT(*) > 0","We can fix this with sql.

1   Update ps_item_line_sf set account_term = '' where sf business_unit = 'XXXXX and emplid = 'XXXXXXXXX' and item_nbr = 'XX' and line_seq_nbr = 'X'
it should update just one row setting the account term to blank to match the account term in ITEM_Sf for item number 21.

2  Run table validation
Student financials > charges and payments  > validate tables ......for just this one student
Check on EVERY BOX including the initial run and UPDATE and it will correct the account sf balances for the ADH001 account totals

       then I need you to run the following sql statements
3   Select B.ACCOUNT_TERM , A.*
From PS_ITEM_LINE_SF A, PS_ITEM_SF B
Where A.COMMON_ID = B.COMMON_ID and A.BUSINESS_UNIT = B.BUSINESS_UNIT
and A.ITEM_NBR = B.ITEM_NBR AND A.ACCOUNT_TERM <> B.ACCOUNT_TERM



This will check to see if you have this issue with any other students.
The sel will (hopefully) not return any rows but if that account per term flag was changed, you will likely have other students with similar issues.
If the SQL does find problems those problems will need to be corrected via SQL as well.

4   Also run this:
SELECT  a.emplid,
         a.account_term as 'item_sf.account_term',
         b.account_term as 'item_line.account_term,
         a.account_nbr as 'item-sf.acct#',
         b.account_nbr as 'item_line.acct#' ,
         a.item_type,
         a.item_nbr,
         a.item_amt,
         b.line_amt,
         b.line_seq_nbr
FROM PS_Item_sf A,
           PS_item_line_sf B
WHERE a.business_unit = b.business_unit and
            a.common_id = b.common_id and
            a.sa_id_type = b.sa_id_type and
            a.item_nbr = b.item_nbr and
            a.account_nbr <> b.account_nbr
ORDER by a.emplid

This should not return any errors/",,Student on Credit History because the ACCOUNT TERM value is unequal on ITEM SF tables,A student has corrupted data on ITEM_SF and ITEM_LINE_SF where the Account number of a specific item_nbr is not the same.,3,PeopleSoft Enterprise CS Student Financials,CHCOLLF,CREDTHIST,WEEK,SAT,Student will appear on credit history report but account balance is paid.,,PeopleSoft Campus Solutions,CS Student Financials Area
PSFT_CS_SF_CREDITHISTORY_ACCTNBR, 656449.1,"Select count(*) || ' Account Found In PS_ITEM_LINE_SF Not Matching With The Account in PS_ITEM_SF' as KEY_DATA, 
'Review KM Doc ID 656449.1 To Identify the Issue and To Resolve It' As Solution, 
'Y' as EVENT FROM ( 
SELECT a.emplid
     , a.account_term as ""item_sf.account_term""
     , b.account_term as ""item_line.account_term""
     , a.account_nbr as ""item_sf.acct""
     , b.account_nbr as ""item_line.acct""
     , a.item_type
     , a.item_nbr
     , a.item_amt
     , b.line_amt
     , b.line_seq_nbr 
FROM SYSADM.PS_Item_sf A
   , SYSADM.PS_item_line_sf B 
WHERE a.business_unit = b.business_unit 
  and a.common_id = b.common_id 
  and a.sa_id_type = b.sa_id_type 
  and a.item_nbr = b.item_nbr 
  and a.account_nbr <> b.account_nbr 
) HAVING COUNT(*) > 0","1  To correct this you must use sql to update item line sf
Update ps_item_line_sf set account_nbr = 'TUT001', Account_term = '2161'  where emplid = '0002206720' and item_nbr = '6'
2     run the sql below to ensure there are no other problem /bad data rows
2a  Select B.ACCOUNT_TERM , A.*
From PS_ITEM_LINE_SF A, PS_ITEM_SF B
Where A.COMMON_ID = B.COMMON_ID and A.BUSINESS_UNIT = B.BUSINESS_UNIT
and A.ITEM_NBR = B.ITEM_NBR AND A.ACCOUNT_TERM <> B.ACCOUNT_TERM

2b  SELECT  a.emplid,
         a.account_term as 'item_sf.account_term',
         b.account_term as 'item_line.account_term,
         a.account_nbr as 'item-sf.acct#',
         b.account_nbr as 'item_line.acct#' ,
         a.item_type,
         a.item_nbr,
         a.item_amt,
         b.line_amt,
         b.line_seq_nbr
FROM PS_Item_sf A,
           PS_item_line_sf B
WHERE a.business_unit = b.business_unit and
            a.common_id = b.common_id and
            a.sa_id_type = b.sa_id_type and
            a.item_nbr = b.item_nbr and
            a.account_nbr <> b.account_nbr
ORDER by a.emplid


3  Once you've updated item line sf you have to run the table validation again in update mode to correct account_sf  and item due sf.
4  And then for good measure I'd run the payment reapplier.",,Credit History process showing strange inconsistencies,"The Cre History process shows strange inconsistencies from accounts concerning 8/8/2016 transactions surrounding the 
removal of late payment fees. It app",3,PeopleSoft Enterprise CS Student Financials,CHCOLLF,CREDTHIST,WEEK,SAT,student appears on the credit history report due to a discrepancy of ACCT_NBR between ITEM_SF and ITEM_LINE_SF,,PeopleSoft Campus Solutions,CS Student Financials Area
